"SR.
NO.",Town,Revenue Circle,Property Area,Classification,Location,Square No,Killa No,Khasra No,DC Rate,Unit,Structure Rate
"210
4",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,44,"14,4,7",,6000000,Acre,732
"210
5",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,45,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"210
6",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,46,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"210
7",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,47,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"210
8",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,48,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"210
9",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,49,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"211
0",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,50,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"211
1",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,52,"23,24,25",,3403141,Acre,732
"211
2",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,54,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"211
3",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,55,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"211
4",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,56,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"211
5",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,57,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"211
6",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,58,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"211
7",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,59,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"211
8",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,60,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"211
9",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,61,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"212
0",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,62,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"212
1",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,63,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"212
2",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,64,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"212
3",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,67,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"212
4",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,68,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"212
5",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,69,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"212
6",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,70,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"212
7",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,71,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"212
8",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,72,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"212
9",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,73,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"213
0",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,74,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"213
1",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,76,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"213
2",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,77,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"213
3",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,78,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"213
4",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,79,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"213
5",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,80,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"213
6",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,81,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"213
7",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,82,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"213
8",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,83,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"213
9",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,84,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"214
0",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,85,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"214
1",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,86,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"214
2",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,87,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"214
3",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,88,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"214
4",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,89,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"214
5",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,90,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"214
6",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,91,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"214
7",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,92,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"214
8",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,93,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"214
9",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,94,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"215
0",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,95,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"215
1",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,96,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"215
2",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,97,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"215
3",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,98,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"215
4",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Agricultural,Off Road,99,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,3403141,Acre,732
"215
5",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,100,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"215
6",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,101,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"215
7",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,102,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"215
8",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,103,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"215
9",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,104,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"216
0",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,105,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"216
1",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,106,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"216
2",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,107,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"216
3",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,108,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"216
4",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,109,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"216
5",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,110,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"216
6",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,111,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"216
7",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,112,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"216
8",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,113,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"216
9",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,114,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"217
0",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,115,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"217
1",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,116,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"217
2",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,117,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"217
3",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,118,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"217
4",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,119,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"217
5",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,120,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"217
6",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,121,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"217
7",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,122,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"217
8",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,123,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"217
9",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,124,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"218
0",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,125,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"218
1",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,126,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"218
2",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,127,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"218
3",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,128,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"218
4",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,129,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"218
5",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,130,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"218
6",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,131,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"218
7",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,132,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"218
8",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,30,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"218
9",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,31,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"219
0",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,32,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"219
1",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,33,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"219
2",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,34,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"219
3",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,35,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"219
4",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,36,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"219
5",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,37,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"219
6",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,38,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"219
7",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,39,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"219
8",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,40,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"219
9",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,41,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"220
0",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,42,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"220
1",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,43,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"220
2",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,44,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"220
3",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,45,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"220
4",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,46,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"220
5",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,47,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"220
6",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,48,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"220
7",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,49,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"220
8",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,50,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"220
9",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,52,"23,24,25",,309129,Marla,732
"221
0",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,54,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"221
1",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,55,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"221
2",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,56,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"221
3",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,57,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"221
4",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,58,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"221
5",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,59,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"221
6",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,60,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"221
7",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,61,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"221
8",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,62,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"221
9",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,63,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"222
0",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,64,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
"222
1",Haveli,Haveli,"Chak No. 1/SP
Wasawaywal a (Off Road)",Residential,Off Road,67,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,309129,Marla,732
